Year,Month,Country,Mode,TradeType,TradeValue
1994,9,Mexico,Other/Unknown,Export,283865489.0
1994,9,Mexico,Other/Unknown,Import,283865489.0
1994,9,Mexico,Other/Unknown,Unknown,167640360.0
1994,9,Mexico,Pipeline,Unknown,20700003.0
1994,9,Mexico,Rail,Export,372103251.0
1994,9,Mexico,Rail,Import,372103251.0
1994,9,Mexico,Rail,Unknown,706441134.0
1994,9,Mexico,Truck,Export,3417626848.0
1994,9,Mexico,Truck,Import,3417501563.0
1994,9,Mexico,Truck,Unknown,3150856877.0
1994,10,Canada,Mail (U.S. Postal Service),Export,5740803.0
1994,10,Canada,Mail (U.S. Postal Service),Import,5740803.0
1994,10,Canada,Mail (U.S. Postal Service),Unknown,241582.0
1994,10,Canada,Other/Unknown,Export,1767024400.0
1994,10,Canada,Other/Unknown,Import,1767021922.0
1994,10,Canada,Other/Unknown,Unknown,284943809.0
1994,10,Canada,Pipeline,Export,12563843.0
1994,10,Canada,Pipeline,Import,12563843.0
1994,10,Canada,Pipeline,Unknown,798119144.0
1994,10,Canada,Rail,Export,1207044357.0
1994,10,Canada,Rail,Import,1206998793.0
1994,10,Canada,Rail,Unknown,3522199658.0
1994,10,Canada,Truck,Export,7944055440.0
1994,10,Canada,Truck,Import,7943981949.0
1994,10,Canada,Truck,Unknown,7343381463.0
1994,10,Mexico,Mail (U.S. Postal Service),Export,17940.0
1994,10,Mexico,Mail (U.S. Postal Service),Import,17940.0
1994,10,Mexico,Mail (U.S. Postal Service),Unknown,75900.0
1994,10,Mexico,Other/Unknown,Export,314768632.0
1994,10,Mexico,Other/Unknown,Import,314760632.0
1994,10,Mexico,Other/Unknown,Unknown,101885229.0
1994,10,Mexico,Pipeline,Unknown,12515614.0
1994,10,Mexico,Rail,Export,437940610.0
1994,10,Mexico,Rail,Import,437937610.0
1994,10,Mexico,Rail,Unknown,722754995.0
1994,10,Mexico,Truck,Export,3485712630.0
1994,10,Mexico,Truck,Import,3485611218.0
1994,10,Mexico,Truck,Unknown,3323549520.0
1994,11,Canada,Mail (U.S. Postal Service),Export,5493900.0
1994,11,Canada,Mail (U.S. Postal Service),Import,5493900.0
1994,11,Canada,Mail (U.S. Postal Service),Unknown,335405.0
1994,11,Canada,Other/Unknown,Export,1819402881.0
1994,11,Canada,Other/Unknown,Import,1819402881.0
1994,11,Canada,Other/Unknown,Unknown,425541707.0
1994,11,Canada,Pipeline,Export,6329449.0
1994,11,Canada,Pipeline,Import,6329449.0
1994,11,Canada,Pipeline,Unknown,863950836.0
1994,11,Canada,Rail,Export,1276319200.0
1994,11,Canada,Rail,Import,1276319200.0
1994,11,Canada,Rail,Unknown,3322238199.0
1994,11,Canada,Truck,Export,8181918231.0
1994,11,Canada,Truck,Import,8181873231.0
1994,11,Canada,Truck,Unknown,7732243870.0
1994,11,Mexico,Mail (U.S. Postal Service),Export,109934.0
1994,11,Mexico,Mail (U.S. Postal Service),Import,109934.0
1994,11,Mexico,Mail (U.S. Postal Service),Unknown,270180.0
1994,11,Mexico,Other/Unknown,Export,238337616.0
1994,11,Mexico,Other/Unknown,Import,238337616.0
1994,11,Mexico,Other/Unknown,Unknown,35849173.0
1994,11,Mexico,Pipeline,Export,3111.0
1994,11,Mexico,Pipeline,Import,3111.0
1994,11,Mexico,Pipeline,Unknown,22262010.0
1994,11,Mexico,Rail,Export,353746863.0
1994,11,Mexico,Rail,Import,353772018.0
1994,11,Mexico,Rail,Unknown,742270262.0
1994,11,Mexico,Truck,Export,3609725337.0
1994,11,Mexico,Truck,Import,3609674337.0
1994,11,Mexico,Truck,Unknown,3500388699.0
1994,12,Canada,Mail (U.S. Postal Service),Export,4323951.0
1994,12,Canada,Mail (U.S. Postal Service),Import,4323951.0
1994,12,Canada,Mail (U.S. Postal Service),Unknown,256373.0
1994,12,Canada,Other/Unknown,Export,1330232777.0
1994,12,Canada,Other/Unknown,Import,1330172777.0
1994,12,Canada,Other/Unknown,Unknown,347745389.0
1994,12,Canada,Pipeline,Export,10681384.0
1994,12,Canada,Pipeline,Import,10681384.0
1994,12,Canada,Pipeline,Unknown,897648520.0
1994,12,Canada,Rail,Export,1159997134.0
1994,12,Canada,Rail,Import,1159997134.0
1994,12,Canada,Rail,Unknown,2575242810.0
1994,12,Canada,Truck,Export,7679888010.0
1994,12,Canada,Truck,Import,7679850809.0
1994,12,Canada,Truck,Unknown,7315045334.0
1994,12,Mexico,Mail (U.S. Postal Service),Export,37516.0
1994,12,Mexico,Mail (U.S. Postal Service),Import,37516.0
1994,12,Mexico,Mail (U.S. Postal Service),Unknown,107334.0
1994,12,Mexico,Other/Unknown,Export,211443868.0
1994,12,Mexico,Other/Unknown,Import,211443868.0
1994,12,Mexico,Other/Unknown,Unknown,69852064.0
1994,12,Mexico,Pipeline,Export,132365.0
1994,12,Mexico,Pipeline,Import,132365.0
1994,12,Mexico,Pipeline,Unknown,184745.0
1994,12,Mexico,Rail,Export,432411740.0
1994,12,Mexico,Rail,Import,432411740.0
1994,12,Mexico,Rail,Unknown,782190674.0
1994,12,Mexico,Truck,Export,3152553313.0
1994,12,Mexico,Truck,Import,3152446632.0
1994,12,Mexico,Truck,Unknown,2868241455.0
1995,1,Canada,Mail (U.S. Postal Service),Export,4196037.0
1995,1,Canada,Mail (U.S. Postal Service),Import,4196037.0
1995,1,Canada,Mail (U.S. Postal Service),Unknown,353043.0
1995,1,Canada,Other/Unknown,Export,1057899741.0
1995,1,Canada,Other/Unknown,Import,1057895936.0
1995,1,Canada,Other/Unknown,Unknown,291325233.0
1995,1,Canada,Pipeline,Export,8171507.0
1995,1,Canada,Pipeline,Import,8171507.0
1995,1,Canada,Pipeline,Unknown,972399060.0
1995,1,Canada,Rail,Export,1154763719.0
1995,1,Canada,Rail,Import,1154763719.0
1995,1,Canada,Rail,Unknown,3198042658.0
1995,1,Canada,Truck,Export,7913647991.0
1995,1,Canada,Truck,Import,7913585497.0
1995,1,Canada,Truck,Unknown,6823470562.0
1995,1,Mexico,Mail (U.S. Postal Service),Unknown,57848.0
1995,1,Mexico,Other/Unknown,Export,169717782.0
1995,1,Mexico,Other/Unknown,Import,169717782.0
1995,1,Mexico,Other/Unknown,Unknown,95259257.0
1995,1,Mexico,Pipeline,Export,149457.0
1995,1,Mexico,Pipeline,Import,149457.0
1995,1,Mexico,Pipeline,Unknown,8670996.0
1995,1,Mexico,Rail,Export,430741519.0
1995,1,Mexico,Rail,Import,430741519.0
1995,1,Mexico,Rail,Unknown,641014048.0
1995,1,Mexico,Truck,Export,2930945674.0
1995,1,Mexico,Truck,Import,2930948227.0
1995,1,Mexico,Truck,Unknown,3375763823.0
1995,2,Canada,Mail (U.S. Postal Service),Export,4699299.0
1995,2,Canada,Mail (U.S. Postal Service),Import,4699299.0
1995,2,Canada,Mail (U.S. Postal Service),Unknown,195333.0
1995,2,Canada,Other/Unknown,Export,1613939018.0
1995,2,Canada,Other/Unknown,Import,1613934807.0
1995,2,Canada,Other/Unknown,Unknown,282804531.0
1995,2,Canada,Pipeline,Export,6054418.0
1995,2,Canada,Pipeline,Import,6054418.0
1995,2,Canada,Pipeline,Unknown,815601562.0
1995,2,Canada,Rail,Export,1401704040.0
1995,2,Canada,Rail,Import,1401704040.0
1995,2,Canada,Rail,Unknown,3258568665.0
1995,2,Canada,Truck,Export,7815670089.0
1995,2,Canada,Truck,Import,7815667456.0
1995,2,Canada,Truck,Unknown,6908845671.0
